ID,Type,Level,Tools,Project Description,Features
1,Mobile Development (Android),Beginner,"ExpoGo or Android Studio, Kotlin/Javascript, AI API, Supabase","An AI-powered personal health companion app which would have features such as a symptom checker powered by AI which would take user input and suggest possible conditions that the user may be experiencing and possible ways to treat them. Another feature would be a medication or appointment reminder with a smart scheduling feature which would send push notifications. And lastly AI-based personalized wellness tips with tailored suggestions based on sleep, diet, and exercise. Depending on what members vote on, we can make the app just for Android using Kotlin and Android Studio or we can make the app crossplatform using ExpoGo and Javascript. We can use Figma for any design prototypes and use Trello to manage the project.","1. Symptom Checker powered by OpenAI API, takes user Input and suggests possible conditions and possibly how to treat them.
2. Medication/Appointment reminder that would send push notifications.
3. Personalized wellness tips with tailored suggestions, maybe read Samsung Health data and suggest the user to engage in more exercise or to be mindful of sleep, etc."
2,Mobile Development (Android/IOS),Beginner,"React Native (Expo), Node.js (Express), PostgreSQL, Firebase/AWS, Stripe API, Google Maps API, GitHub","This project proposes the development of a mobile application that provides tourists with secure luggage storage solutions. The app connects travelers with verified storage locations, allowing them to enjoy their day after hotel checkout without carrying bags. Users can find nearby spots through GPS, book flexible storage time, and pay securely through the app.","1. Location-based search to find the nearest luggage storage points.
2. Secure bookings and digital check-in/check-out.
3. In-app payments using Stripe.
4. Reviews and ratings for trust and reliability.
5. Push notifications to confirm booking and pickup reminders.
6. Flexible booking durations (hourly or daily)."
3,Mobile Development (IOS),Beginner,"XCode, Swift + SwiftUI (UI), CloudKit (backend/storage), PhotosPicker (image upload), MapKit (location), Sign in with Apple (auth).","A marketplace for FIU students to sell items like books, electronics or other items within the campus community. Students can post items with photos, prices, descriptions and contact information.Xcode (development), iOS simulator/device (testing), Mac computer (preferred; if not available, use a Mac virtual machine or FIU Macs).","1. Location-based search to find the nearest luggage storage points.
2. Secure bookings and digital check-in/check-out.
3. In-app payments using Stripe.
4. Reviews and ratings for trust and reliability.
5. Push notifications to confirm booking and pickup reminders.
6. Flexible booking durations (hourly or daily)."
4,Web Development ,Beginner,"HTML, CSS, JavaScript, WebSocket, potentially Node.js","A collaborative multi-browser drawing, notes, or whiteboard application that allows all connected tabs to create and share drawings or notes, etc. 
(may only be on a single server)","Multiple tabs can share a note or draw on a whiteboard, clear the board and change colors of notes if notes are used. All of it is shared between those tabs. "
5,Web Development ,Intermediate,"React,Node.Js,Tailwind CSS,TypeScript,Express",cnct or connect is a website where FIU students can easily create and join plans — from volleyball or running to sparring or study groups. Each plan has a messaging thread for quick coordination and a “Who’s Going” list so everyone knows who’s in.," People will be able to RSVP to events and other People will be able to see who is  going to the event. Also might add in a messaging system so People can message each other but we need to see whats in the scope for the project and how we can manage that efficiently
- Only FIU students will be able to use it because they will have to signup with their FIU school emails
- a friends and following system so you can add People you meet along the way"
6,Web Development ,Intermediate,"Front end - 

- React
- TailwindCSS
- Figma

Back end -

- Node.js
- Express
- MongoDB Atlas","We are building a simple web-based social platform where users can create profiles, share their own artwork (images, music links, or poetry), and explore work shared by others. Each profile serves as a personal gallery, and users can like and comment on posts.

Looking for a team that enjoys front-end design and bringing creative ideas to life. Ideal teammates should have front-end skills with at least some back-end experience.","1. User authentication (sign-up/login)
2. User profiles with personal gallery
3. Upload and share artwork (images, text, music links)
4. Feed/Explore page to view posts
5. Like and comment system"
7,Web Development ,Advanced,"**Front-end**: Next.js, Typescript, ShadCN, TailwindCSS

**Backend**: Next.js, Typescript, Express.js,

**Database**: MongoDB

**APIs:** OpenAi or Claude","An innovative, student-centric communication platform designed to foster collaboration, creativity, and engagement on campus. Our platform combines real-time messaging, virtual whiteboards, voice notes, and audio/video call capabilities. This cross-platform app aims to simplify student collaboration on campus. By combining innovative features with a user-friendly interface, we aim to revolutionize the way students learn and interact.  ","Users will be able to use the app to

- Send text messages
- Send audio messages
- Send media files and documents
- Make audio calls and video calls
- Create groups to perform all above tasks in the group.
- Use AI to summarize a group conversation that a user might have missed.
- Get automatic group chat suggestions based on current classes.
- Use live collaboration boards in meetings for study-sessions.
- Create Polls
- Manage projects
- Create a personal branding (Bio, portfolio page etc.)"
8,Web Development ,Advanced,"Front-end:
React
TailwindCSS
Figma

Back-end:
Python
FastAPI
OpenAI API","The project idea is Roadmap AI, a task-management application designed for both new and experienced computer science students. Roadmap AI helps users transform large, complex projects into smaller, manageable components.

With AI-driven planning, students can map out the scope of their projects, receive guided breakdowns of tasks, and track progress from start to completion. Unlike generic task managers, Roadmap AI is tailored to the challenges of computer science projects.

Looking for students interested in Front-End work","Front-end UI

AI Agent collaborator

Python Back-End

Authentication & Authorization System

Node-based visualization where each node represents a component or milestone of the project

Track, assign, and mark off tasks within each node or component"
9, Artificial Intelligence,Beginner,"pandas, numpy, scikit-learn, SARIMAX, LightGBM, PyTorch, matplotlib, Pickle","This project aims to predict daily and hourly electricity load peaks for a specific region. The models will utilize datasets from the US EIA, ENTSO-E demand data, and the NASA POWER API to provide accurate predictions of when electrical demand will peak. Models of interest include SARIMAX, LightGBM, and Temporal Fusion Transformer. Models are tentative and may change as the preprocessing stage reveals greater insights about the data we are working with. 

Great project to get your foot into the door of AI/ML. Any kind of CS student is welcome as long as they are interested and willing to meaningfully contribute.","Multimodal approach
    - Produces a result based on electrical demand, weather, and calendar data
Temporal pattern forecasting
    - Hour of day (0–23)
    - Day of week (Monday–Sunday)
    - Holidays indicator (1/0)
    - Season (Winter, Spring, Summer, Fall) Captures rolling metrics
    - Rolling mean, standard deviation, and max/min in time window
- Perception ? Action
    - A few ideas:
        - Trigger alerts when predicted demand is expected to exceed historical limits.
        - Use peak forecasts to adjust electricity prices dynamically (like surge pricing for power).
        - Predict tomorrow’s peak hours ? schedule when generators or battery storage should be active."
10, Artificial Intelligence,Beginner,"Python, JavaScript, APIs, N8N (TBD)","We’ll be building an AI agent that collects the daily news, creates a short AI video, and posts a YouTube Shorts video every day. Especially suited for those interested in Agentic AI.",Fully automated workflow using Agentic AI (the next big thing in AI)
