ID,Type,Level,Tools,Project Description,Features,Responsibilities
1,Mobile Development (Android),Beginner,"ExpoGo or Android Studio, Kotlin/Javascript, AI API, Supabase","An AI-powered personal health companion app which would have features such as a symptom checker powered by AI which would take user input and suggest possible conditions that the user may be experiencing and possible ways to treat them. Another feature would be a medication or appointment reminder with a smart scheduling feature which would send push notifications. And lastly AI-based personalized wellness tips with tailored suggestions based on sleep, diet, and exercise. Depending on what members vote on, we can make the app just for Android using Kotlin and Android Studio or we can make the app crossplatform using ExpoGo and Javascript. We can use Figma for any design prototypes and use Trello to manage the project.","1. Symptom Checker powered by OpenAI API, takes user Input and suggests possible conditions and possibly how to treat them.
2. Medication/Appointment reminder that would send push notifications.
3. Personalized wellness tips with tailored suggestions, maybe read Samsung Health data and suggest the user to engage in more exercise or to be mindful of sleep, etc.","mobile development (android) beginner expogo or android studio, kotlin/javascript, ai api, supabase an ai-powered personal health companion app which would have features such as a symptom checker powered by ai which would take user input and suggest possible conditions that the user may be experiencing and possible ways to treat them. another feature would be a medication or appointment reminder with a smart scheduling feature which would send push notifications. and lastly ai-based personalized wellness tips with tailored suggestions based on sleep, diet, and exercise. depending on what members vote on, we can make the app just for android using kotlin and android studio or we can make the app crossplatform using expogo and javascript. we can use figma for any design prototypes and use trello to manage the project. 1. symptom checker powered by openai api, takes user input and suggests possible conditions and possibly how to treat them. 2. medication/appointment reminder that would send push notifications. 3. personalized wellness tips with tailored suggestions, maybe read samsung health data and suggest the user to engage in more exercise or to be mindful of sleep, etc."
2,Mobile Development (Android/IOS),Beginner,"React Native (Expo), Node.js (Express), PostgreSQL, Firebase/AWS, Stripe API, Google Maps API, GitHub","This project proposes the development of a mobile application that provides tourists with secure luggage storage solutions. The app connects travelers with verified storage locations, allowing them to enjoy their day after hotel checkout without carrying bags. Users can find nearby spots through GPS, book flexible storage time, and pay securely through the app.","1. Location-based search to find the nearest luggage storage points.
2. Secure bookings and digital check-in/check-out.
3. In-app payments using Stripe.
4. Reviews and ratings for trust and reliability.
5. Push notifications to confirm booking and pickup reminders.
6. Flexible booking durations (hourly or daily).","mobile development (android/ios) beginner react native (expo), node.js (express), postgresql, firebase/aws, stripe api, google maps api, github this project proposes the development of a mobile application that provides tourists with secure luggage storage solutions. the app connects travelers with verified storage locations, allowing them to enjoy their day after hotel checkout without carrying bags. users can find nearby spots through gps, book flexible storage time, and pay securely through the app. 1. location-based search to find the nearest luggage storage points. 2. secure bookings and digital check-in/check-out. 3. in-app payments using stripe. 4. reviews and ratings for trust and reliability. 5. push notifications to confirm booking and pickup reminders. 6. flexible booking durations (hourly or daily)."
3,Mobile Development (IOS),Beginner,"XCode, Swift + SwiftUI (UI), CloudKit (backend/storage), PhotosPicker (image upload), MapKit (location), Sign in with Apple (auth).","A marketplace for FIU students to sell items like books, electronics or other items within the campus community. Students can post items with photos, prices, descriptions and contact information.Xcode (development), iOS simulator/device (testing), Mac computer (preferred; if not available, use a Mac virtual machine or FIU Macs).","1. Location-based search to find the nearest luggage storage points.
2. Secure bookings and digital check-in/check-out.
3. In-app payments using Stripe.
4. Reviews and ratings for trust and reliability.
5. Push notifications to confirm booking and pickup reminders.
6. Flexible booking durations (hourly or daily).","mobile development (ios) beginner xcode, swift + swiftui (ui), cloudkit (backend/storage), photospicker (image upload), mapkit (location), sign in with apple (auth). a marketplace for fiu students to sell items like books, electronics or other items within the campus community. students can post items with photos, prices, descriptions and contact information.xcode (development), ios simulator/device (testing), mac computer (preferred; if not available, use a mac virtual machine or fiu macs). 1. location-based search to find the nearest luggage storage points. 2. secure bookings and digital check-in/check-out. 3. in-app payments using stripe. 4. reviews and ratings for trust and reliability. 5. push notifications to confirm booking and pickup reminders. 6. flexible booking durations (hourly or daily)."
4,Web Development ,Beginner,"HTML, CSS, JavaScript, WebSocket, potentially Node.js","A collaborative multi-browser drawing, notes, or whiteboard application that allows all connected tabs to create and share drawings or notes, etc. 
(may only be on a single server)","Multiple tabs can share a note or draw on a whiteboard, clear the board and change colors of notes if notes are used. All of it is shared between those tabs. ","web development  beginner html, css, javascript, websocket, potentially node.js a collaborative multi-browser drawing, notes, or whiteboard application that allows all connected tabs to create and share drawings or notes, etc.  (may only be on a single server) multiple tabs can share a note or draw on a whiteboard, clear the board and change colors of notes if notes are used. all of it is shared between those tabs."
5,Web Development ,Intermediate,"React,Node.Js,Tailwind CSS,TypeScript,Express",cnct or connect is a website where FIU students can easily create and join plans  from volleyball or running to sparring or study groups. Each plan has a messaging thread for quick coordination and a Whos Going list so everyone knows whos in.," People will be able to RSVP to events and other People will be able to see who is  going to the event. Also might add in a messaging system so People can message each other but we need to see whats in the scope for the project and how we can manage that efficiently
- Only FIU students will be able to use it because they will have to signup with their FIU school emails
- a friends and following system so you can add People you meet along the way","web development  intermediate react,node.js,tailwind css,typescript,express cnct or connect is a website where fiu students can easily create and join plans  from volleyball or running to sparring or study groups. each plan has a messaging thread for quick coordination and a whos going list so everyone knows whos in.  people will be able to rsvp to events and other people will be able to see who is  going to the event. also might add in a messaging system so people can message each other but we need to see whats in the scope for the project and how we can manage that efficiently - only fiu students will be able to use it because they will have to signup with their fiu school emails - a friends and following system so you can add people you meet along the way"
6,Web Development ,Intermediate,"Front end - 

- React
- TailwindCSS
- Figma

Back end -

- Node.js
- Express
- MongoDB Atlas","We are building a simple web-based social platform where users can create profiles, share their own artwork (images, music links, or poetry), and explore work shared by others. Each profile serves as a personal gallery, and users can like and comment on posts.

Looking for a team that enjoys front-end design and bringing creative ideas to life. Ideal teammates should have front-end skills with at least some back-end experience.","1. User authentication (sign-up/login)
2. User profiles with personal gallery
3. Upload and share artwork (images, text, music links)
4. Feed/Explore page to view posts
5. Like and comment system","web development  intermediate front end -   - react - tailwindcss - figma  back end -  - node.js - express - mongodb atlas we are building a simple web-based social platform where users can create profiles, share their own artwork (images, music links, or poetry), and explore work shared by others. each profile serves as a personal gallery, and users can like and comment on posts.  looking for a team that enjoys front-end design and bringing creative ideas to life. ideal teammates should have front-end skills with at least some back-end experience. 1. user authentication (sign-up/login) 2. user profiles with personal gallery 3. upload and share artwork (images, text, music links) 4. feed/explore page to view posts 5. like and comment system"
7,Web Development ,Advanced,"**Front-end**: Next.js, Typescript, ShadCN, TailwindCSS

**Backend**: Next.js, Typescript, Express.js,

**Database**: MongoDB

**APIs:** OpenAi or Claude","An innovative, student-centric communication platform designed to foster collaboration, creativity, and engagement on campus. Our platform combines real-time messaging, virtual whiteboards, voice notes, and audio/video call capabilities. This cross-platform app aims to simplify student collaboration on campus. By combining innovative features with a user-friendly interface, we aim to revolutionize the way students learn and interact.  ","Users will be able to use the app to

- Send text messages
- Send audio messages
- Send media files and documents
- Make audio calls and video calls
- Create groups to perform all above tasks in the group.
- Use AI to summarize a group conversation that a user might have missed.
- Get automatic group chat suggestions based on current classes.
- Use live collaboration boards in meetings for study-sessions.
- Create Polls
- Manage projects
- Create a personal branding (Bio, portfolio page etc.)","web development  advanced **front-end**: next.js, typescript, shadcn, tailwindcss  **backend**: next.js, typescript, express.js,  **database**: mongodb  **apis:** openai or claude an innovative, student-centric communication platform designed to foster collaboration, creativity, and engagement on campus. our platform combines real-time messaging, virtual whiteboards, voice notes, and audio/video call capabilities. this cross-platform app aims to simplify student collaboration on campus. by combining innovative features with a user-friendly interface, we aim to revolutionize the way students learn and interact.   users will be able to use the app to  - send text messages - send audio messages - send media files and documents - make audio calls and video calls - create groups to perform all above tasks in the group. - use ai to summarize a group conversation that a user might have missed. - get automatic group chat suggestions based on current classes. - use live collaboration boards in meetings for study-sessions. - create polls - manage projects - create a personal branding (bio, portfolio page etc.)"
8,Web Development ,Advanced,"Front-end:
React
TailwindCSS
Figma

Back-end:
Python
FastAPI
OpenAI API","The project idea is Roadmap AI, a task-management application designed for both new and experienced computer science students. Roadmap AI helps users transform large, complex projects into smaller, manageable components.

With AI-driven planning, students can map out the scope of their projects, receive guided breakdowns of tasks, and track progress from start to completion. Unlike generic task managers, Roadmap AI is tailored to the challenges of computer science projects.

Looking for students interested in Front-End work","Front-end UI

AI Agent collaborator

Python Back-End

Authentication & Authorization System

Node-based visualization where each node represents a component or milestone of the project

Track, assign, and mark off tasks within each node or component","web development  advanced front-end: react tailwindcss figma  back-end: python fastapi openai api the project idea is roadmap ai, a task-management application designed for both new and experienced computer science students. roadmap ai helps users transform large, complex projects into smaller, manageable components.  with ai-driven planning, students can map out the scope of their projects, receive guided breakdowns of tasks, and track progress from start to completion. unlike generic task managers, roadmap ai is tailored to the challenges of computer science projects.  looking for students interested in front-end work front-end ui  ai agent collaborator  python back-end  authentication & authorization system  node-based visualization where each node represents a component or milestone of the project  track, assign, and mark off tasks within each node or component"
9, Artificial Intelligence,Beginner,"pandas, numpy, scikit-learn, SARIMAX, LightGBM, PyTorch, matplotlib, Pickle","This project aims to predict daily and hourly electricity load peaks for a specific region. The models will utilize datasets from the US EIA, ENTSO-E demand data, and the NASA POWER API to provide accurate predictions of when electrical demand will peak. Models of interest include SARIMAX, LightGBM, and Temporal Fusion Transformer. Models are tentative and may change as the preprocessing stage reveals greater insights about the data we are working with. 

Great project to get your foot into the door of AI/ML. Any kind of CS student is welcome as long as they are interested and willing to meaningfully contribute.","Multimodal approach
    - Produces a result based on electrical demand, weather, and calendar data
Temporal pattern forecasting
    - Hour of day (023)
    - Day of week (MondaySunday)
    - Holidays indicator (1/0)
    - Season (Winter, Spring, Summer, Fall) Captures rolling metrics
    - Rolling mean, standard deviation, and max/min in time window
- Perception ? Action
    - A few ideas:
        - Trigger alerts when predicted demand is expected to exceed historical limits.
        - Use peak forecasts to adjust electricity prices dynamically (like surge pricing for power).
        - Predict tomorrows peak hours ? schedule when generators or battery storage should be active.","artificial intelligence beginner pandas, numpy, scikit-learn, sarimax, lightgbm, pytorch, matplotlib, pickle this project aims to predict daily and hourly electricity load peaks for a specific region. the models will utilize datasets from the us eia, entso-e demand data, and the nasa power api to provide accurate predictions of when electrical demand will peak. models of interest include sarimax, lightgbm, and temporal fusion transformer. models are tentative and may change as the preprocessing stage reveals greater insights about the data we are working with.   great project to get your foot into the door of ai/ml. any kind of cs student is welcome as long as they are interested and willing to meaningfully contribute. multimodal approach     - produces a result based on electrical demand, weather, and calendar data temporal pattern forecasting     - hour of day (023)     - day of week (mondaysunday)     - holidays indicator (1/0)     - season (winter, spring, summer, fall) captures rolling metrics     - rolling mean, standard deviation, and max/min in time window - perception ? action     - a few ideas:         - trigger alerts when predicted demand is expected to exceed historical limits.         - use peak forecasts to adjust electricity prices dynamically (like surge pricing for power).         - predict tomorrows peak hours ? schedule when generators or battery storage should be active."
10, Artificial Intelligence,Beginner,"Python, JavaScript, APIs, N8N (TBD)","Well be building an AI agent that collects the daily news, creates a short AI video, and posts a YouTube Shorts video every day. Especially suited for those interested in Agentic AI.",Fully automated workflow using Agentic AI (the next big thing in AI),"artificial intelligence beginner python, javascript, apis, n8n (tbd) well be building an ai agent that collects the daily news, creates a short ai video, and posts a youtube shorts video every day. especially suited for those interested in agentic ai. fully automated workflow using agentic ai (the next big thing in ai)"
